x,Ser Millis,PPS Millis,,,
0,8749,8476,,,
1,9731,9482,,,
2,11752,11494,,,
3,12890,12491,,,
4,13682,13487,,,
5,14666,14488,,,
6,15930,15501,,,
7,16872,16501,,,
8,17871,17502,,,
9,18869,18502,,,
10,19899,19503,,,
11,20889,20503,,,
12,21869,21504,,,
13,22870,22504,,,
14,23871,23504,,,
15,24871,24505,,,
16,25899,25505,,,
17,26579,26506,,,
18,27938,27506,,,
19,28926,28507,,,
20,29926,29507,,,
21,30928,30508,,,
22,31948,31508,,,
23,32922,32508,,,
24,33870,33509,,,
25,34876,34509,,,
26,35890,35510,,,
27,36924,36510,,,
28,37891,37511,,,
29,38898,38511,,,
30,39898,39512,,,
31,40898,40512,,,
32,41899,41512,,,
33,42937,42513,,,
34,43953,43513,,,
35,44928,44514,,,
36,45920,45514,,,
37,46961,46515,,,
38,48014,47515,,,
39,49013,48516,,,
40,49986,49516,,,
41,51015,50516,,,
42,51991,51517,,,
43,52996,52517,,,
44,53999,53518,,,
45,54947,54518,,,
46,55961,55519,,,
47,56907,56519,,,
48,58019,57520,,,
49,58917,58520,,,
50,59929,59521,,,
51,60959,60521,,,
52,61927,61521,,,
53,62979,62522,,,
54,63933,63522,,,
55,64975,64523,,,
56,65993,65523,,,
57,67012,66524,,,
58,67964,67524,,,
59,69055,68525,,,
60,70064,69525,,,
61,70987,70526,,,
62,71989,71527,,,
63,72992,72527,,,
64,74017,73528,,,
65,74989,74528,,,
66,75954,75529,,,
67,76954,76529,,,
68,77953,77530,,,
69,79008,78530,,,
70,79959,79531,,,
71,80969,80531,,,
72,81957,81531,,,
73,82970,82532,,,
74,83953,83532,,,
75,85007,84533,,,
76,85975,85533,,,
77,86985,86534,,,
78,88010,87534,,,
79,89011,88535,,,
80,90056,89535,,,
81,91063,90535,,,
82,92086,91536,,,
83,93057,92536,,,
84,94056,93537,,,
85,95059,94537,,,
86,96018,95538,,,
87,96965,96538,,,
88,98030,97539,,,
89,99018,98539,,,
90,100076,99539,,,
91,101203,100540,,,
92,102026,101540,,,
93,103037,102541,,,
94,104029,103541,,,
95,104977,104542,,,
96,106018,105542,,,
97,106961,106543,,,
98,107981,107543,,,
99,108962,108544,,,
100,109982,109544,,,
101,110962,110544,,,
102,111968,111545,,,
103,112982,112545,,,
104,113970,113546,,,
105,115042,114546,,,
106,115980,115547,,,
107,117043,116547,,,
108,118033,117548,,,
109,119033,118548,,,
110,120042,119548,,,
111,121010,120549,,,
112,122086,121549,,,
113,123074,122550,,,
114,124028,123550,,,
115,125017,124551,,,
116,126084,125551,,,
117,127067,126552,,,
118,128076,127552,,,
119,129032,128552,,,
120,129972,129553,,,
121,131009,130553,,,
122,131994,131554,,,
123,133037,132554,,,
124,134026,133555,,,
125,135035,134555,,,
126,136025,135557,,,
127,137024,136557,,,
128,138084,137558,,,
129,139045,138558,,,
130,140056,139558,,,
131,141073,140559,,,
132,142080,141559,,,
133,143120,142560,,,
134,144072,143560,,,
135,145079,144561,,,
136,146068,145561,,,
137,147053,146562,,,
138,148044,147562,,,
139,149003,148562,,,
140,149986,149563,,,
141,151005,150563,,,
142,151996,151564,,,
143,152984,152564,,,
144,154003,153565,,,
145,155003,154565,,,
146,155990,155566,,,
147,157052,156566,,,
148,158074,157566,,,
149,159019,158567,,,
150,160054,159567,,,
151,161018,160568,,,
152,162019,161568,,,
153,163062,162569,,,
154,164064,163569,,,
155,165053,164570,,,
156,166065,165570,,,
157,167046,166571,,,
158,168045,167571,,,
159,169047,168571,,,
160,170006,169572,,,
161,170994,170572,,,
162,172016,171573,,,
163,173016,172573,,,
164,174015,173574,,,
165,175013,174574,,,
166,176011,175575,,,
167,177000,176575,,,
168,178008,177575,,,
169,179020,178576,,,
170,180027,179576,,,
171,181052,180577,,,
172,182064,181577,,,
173,183070,182578,,,
174,184097,183578,,,
175,185103,184579,,,
176,186117,185579,,,
177,187040,186579,,,
178,188127,187581,,,
179,189101,188581,,,
180,190097,189582,,,
181,191047,190582,,,
182,192065,191583,,,
183,193054,192583,,,
184,194057,193584,,,
185,195057,194584,,,
186,196049,195585,,,
187,197110,196585,,,
188,198109,197585,,,
189,199105,198586,,,
190,200092,199586,,,
191,201082,200587,,,
192,202063,201587,,,
193,203071,202588,,,
194,204125,203588,,,
195,205106,204589,,,
196,206093,205589,,,
197,207126,206589,,,
198,208067,207590,,,
199,209009,208590,,,
200,210019,209591,,,
201,211020,210591,,,
202,212032,211592,,,
203,213019,212592,,,
204,214080,213593,,,
205,215076,214593,,,
206,216076,215593,,,
207,217080,216594,,,
208,218091,217594,,,
209,219065,218595,,,
210,220123,219595,,,
211,221066,220596,,,
212,222125,221596,,,
213,223123,222597,,,
214,224109,223597,,,
215,225108,224598,,,
216,226064,225598,,,
217,227008,226598,,,
218,228080,227599,,,
219,229009,228599,,,
220,230019,229600,,,
221,231012,230600,,,
222,232007,231601,,,
223,233085,232601,,,
224,234067,233603,,,
225,235057,234603,,,
226,236051,235603,,,
227,237059,236604,,,
228,238048,237604,,,
229,239057,238605,,,
230,240038,239605,,,
231,241091,240606,,,
232,242120,241606,,,
233,243091,242607,,,
234,244110,243607,,,
235,245110,244608,,,
236,246111,245608,,,
237,247104,246608,,,
238,248013,247609,,,
239,249026,248609,,,
240,250012,249610,,,
241,251028,250610,,,
242,252072,251611,,,
243,253032,252611,,,
244,254092,253612,,,
245,255073,254612,,,
246,256081,255612,,,
247,257084,256613,,,
248,258068,257613,,,
249,259068,258614,,,
250,260078,259614,,,
251,261086,260615,,,
252,262122,261615,,,
253,263138,262616,,,
254,264141,263616,,,
255,265141,264616,,,
256,266152,265617,,,
257,267133,266617,,,
258,268133,267618,,,
259,269083,268618,,,
260,270120,269619,,,
261,271129,270619,,,
262,272151,271620,,,
263,273124,272620,,,
264,274141,273620,,,
265,275063,274622,,,
266,276131,275622,,,
267,277131,276623,,,
268,278142,277623,,,
269,279120,278624,,,
270,280064,279624,,,
271,281140,280625,,,
272,282122,281625,,,
273,283175,282626,,,
274,284165,283626,,,
275,285143,284626,,,
276,286145,285627,,,
277,287148,286627,,,
278,288158,287628,,,
279,289161,288628,,,
280,290114,289629,,,
281,291099,290629,,,
282,292121,291630,,,
283,293103,292630,,,
284,294105,293630,,,
285,295101,294631,,,
286,296121,295631,,,
287,297109,296632,,,
288,298093,297632,,,
289,299110,298633,,,
290,300046,299633,,,
291,301052,300634,,,
292,302053,301634,,,
293,303043,302635,,,
294,304175,303635,,,
295,305139,304635,,,
296,306156,305636,,,
297,307205,306636,,,
298,308224,307637,,,
299,309211,308637,,,
300,310175,309638,,,
301,311175,310638,,,
302,312187,311639,,,
303,313222,312639,,,
304,314168,313640,,,
305,315155,314641,,,
306,316147,315641,,,
307,317147,316642,,,
308,318167,317642,,,
309,319179,318643,,,
310,320194,319643,,,
311,321161,320644,,,
312,322164,321644,,,
313,323156,322644,,,
314,324146,323645,,,
315,325160,324645,,,
316,326217,325646,,,
317,327213,326646,,,
318,328183,327647,,,
319,329167,328647,,,
320,330162,329648,,,
321,331261,330648,,,
322,332277,331649,,,
323,333230,332649,,,
324,334238,333649,,,
325,335284,334650,,,
326,336216,335650,,,
327,337283,336651,,,
328,338271,337651,,,
329,339280,338652,,,
330,340285,339652,,,
331,341216,340653,,,
332,342228,341653,,,
333,343217,342653,,,
334,344239,343654,,,
335,345229,344654,,,
336,346212,345655,,,
337,347224,346655,,,
338,348242,347656,,,
339,349242,348656,,,
340,350237,349657,,,
341,351233,350658,,,
342,352285,351659,,,
343,353268,352659,,,
344,354217,353659,,,
345,355237,354660,,,
346,356290,355660,,,
347,357278,356661,,,
348,358276,357661,,,
349,359274,358662,,,
350,360276,359662,,,
351,361227,360663,,,
352,362249,361663,,,
353,363237,362663,,,
354,364241,363664,,,
355,365241,364664,,,
356,366222,365665,,,
357,367227,366665,,,
